name
Pulat Otkan
Giray Fidan
Maria V. Snyder
Edith Hamilton
Steele Savage
Aleksandr Solzhenitsyn
H.T. Willetts
Tim LaHaye
Jerry B. Jenkins
Jasper Fforde
Peter Straub
Kim Edwards
Karen Marie Moning
Michael Grant
Richard Wright
Michael Shaara
Nicole Krauss
Italo Calvino
Robert Ludlum
Thomas Pynchon
Howard Zinn
Richard Matheson
Stephen Hawking
Sophocles
J.E. Thomas
Marissa Meyer
Tamora Pierce
Andre Dubus III
David McCullough
Janet Evanovich
Ursula K. Le Guin
Madeline Miller
Marie Lu
Shirley Jackson
Laura Miller
Robin Hobb
Jandy Nelson
Clement C. Moore
Jan Brett
Charlotte Perkins Gilman
John Fowles
Margaret Atwood
Terry Pratchett
Dave Eggers
Margaret Jull Costa
Kâmuran Şipal
Robyn Mundell
Stephan Lacast
Scott Lynch
Tom Robbins
Henri Charrière
Louis de Bernières
Ally Carter
Janos Farkas
Ann Brashares
Allen Ginsberg
William Carlos Williams
E.L. Konigsburg
Muriel Barbery
Alison Anderson
Joseph Smith Jr.
Carl Sagan
Raymond Chandler
Jacob Grimm
Wilhelm Grimm
Edward Robert Hughes
Dee Brown
Joseph Campbell
Bill Moyers
Alexander McCall Smith
Erich Segal
Rachel Caine
Jules Verne
Anthony Bonner
Sophie Kinsella
Dean Koontz
J.A. Redmerski
Suzanne Boisvert
Walter Scott
Graham Tulloch
Introduction)
Steven D. Levitt
Stephen J. Dubner
Kristin Hannah
Virgil
Robert Fitzgerald
Fiona Stafford
Sharon Creech
Wallace Stegner
Rosamunde Pilcher
Jonathan Franzen
Michael Pollan
Walter M. Miller Jr.
Mary Doria Russell
Rudyard Kipling
Alev Lytle Croutier
Jorge Luis Borges
Andrew Hurley
Kerstin Gier
David Nicholls
Helen Keller
Katherine Dunn
Henry James
Patricia Crick
Kate DiCamillo
Patricia Ingham
Dennis Taylor
Jenny Sterlin
Mark Oxford
James Oliver Smith Jr.
Pierce Brown
Paula Hawkins
Anthony Kerrigan
Ned Vizzini
Rachel Cohn
Kristin Cashore
Steve Snyder
Philippe Forget
Dr. Riaz-ul-Hassan
Edla Valdna
Hugo Flintzer
R. Dillon Boylan
Charles Louis De Sevelinges
more…
Lisa Genova
Koushun Takami
Yuji Oniki
P.L. Travers
Júlia Sardà
Mary Shepard
Anne Morrow Lindbergh
Richard Yates
Brian Selznick
F. Scott Fitzgerald
Amor Towles
Olive Ann Burns
Jean-Paul Sartre
Lloyd Alexander
H.P. van den Aardweg
Hayden Carruth
Justin Cronin
Dominique Haas
Robert Frost
Edward Connery Lathem
Leon Uris
Stephen R. Covey
Jim Collins
Andrew Davidson
Winston Groom
Emmanuel Pailler
Angie Thomas
Sylvain Reynard
Michael Glencross
Annotations)
Brian W. Aldiss
Kate Morton
Robert James Waller
Jeffrey Archer
Dennis Lehane
James Frey
Laurell K. Hamilton
Jeanne DuPrau
Jeannette Walls
Becky Albertalli
Mathilde Tamae-Bouhon
Catherine Marshall
Jonathan Stroud
Ellen Hopkins
Mark Z. Danielewski
Tom Clancy
Jennifer L. Armentrout
Hubert SelJr.
Darren Aronofsky
Richard Price
Irving Stone
David Wroblewski
Charles Bukowski
Tom Wolfe
Robin McKinley
Billie Letts
William S. Burroughs
James Grauerholz
Barry Miles
Albert Camus
Justin O'Brien
L.J. Smith
Nina Bawden
Louis-Ferdinand Céline
Angela Cismaş
William T. Vollmann
Nevil Shute
S.C. Stephens
Richard Bachman
Brandon Mull
Ken Kesey
Katherine Duncan-Jones
Tammara Webber
Yevgeny Zamyatin
Clarence Brown
Mildred D. Taylor
Gary Chapman
Marcus Aurelius
Martin Hammond
Albert Wittstock
Diskin Clay
J.M. Coetzee
Aprilynne Pike
Junot Díaz
Gillian Flynn
Samuel Taylor Coleridge
Gustave Doré
Krishna-Dwaipayana Vyasa
Simon Brodbeck
Juan Mascaró
Nancy E. Turner
Nicholas Evans
Dashiell Hammett
Robert Musil
Burton Pike
Sophie Wilkins
Colleen Houck
Brian Jacques
Erin Hunter
John Flanagan
André Aciman
Rachel Hawkins
Cynthia Hand
Don DeLillo
Munro Leaf
Robert Lawson
Oliver Stallybrass
Pankaj Mishra
Kim Harrison
Alex Flinn
M.M. Kaye
Aimee Cabo Nikolov
Melissa de la Cruz
Henrik Ibsen
T. Weber
Michael Meyer
Peter Høeg
Tiina Nunnally
Lauren Weisberger
Hanya Yanagihara
William Blake
Augusten Burroughs
Tabitha Suzuma
C. Toni Graham
James Fenimore Cooper
Beth Revis
Gary Paulsen
Sebastian Faulks
Traci Medford-Rosow
Kevin Coughlin
Douglas R. Hofstadter
John Ajvide Lindqvist
Andrea Cremer
Jim Butcher
Jacqueline Susann
Ben Peller
Alexander Pushkin
James E. Falen
Claudia Gray
Ruta Sepetys
Jonathan Lethem
Raymond E. Feist
Christopher Hitchens
Sarah Waters
Kenneth Thomas
Samantha Young
Patricia Briggs
Robert R. McCammon
Vincent Bugliosi
Curt Gentry
Herman Wouk
Norman Maclean
Jon Scieszka
Lane Smith
Trenton Lee Stewart
Pablo Neruda
W.S. Merwin
Cristina García
H.P. Lovecraft
Joyce Carol Oates
V.E. Schwab
Nicola Yoon
David Yoon
Frank E. Peretti
Alice Hoffman
Henry Miller
Jiří Níl
Sherman Alexie
Ellen Forney
Brent Weeks
Günter Grass
Ann-Marie MacDonald
Rebecca Skloot
Mia Sheridan
Amanda Hocking
Jacqueline Carey
Ursula Hegi
Sergio Cobo
Peter B. Forster
Marjane Satrapi
Mattias Ripa
Part 1)
Blake Ferris
Part 2)
Anjali Singh
Parts 3 and 4)
Nikos Kazantzakis
Carl Wildman
Nikos Kazancakis
Peter Benchley
Kathleen Zamboni McCormick
Josephine Angelini
Malcolm Gladwell
David Alabort
Manuel Espín
Giovanni Boccaccio
G.H. McWilliam
James McBride
S.J. Watson
Émile Zola
Roger Pearson
Timothy Basil Ering
Murasaki Shikibu
Royall Tyler
Gregory Rabassa
Vera Jane Cook
Richard Russo
Abbi Glines
Laurie R. King
Graham Greene
Robert Stone
Geraldine Brooks
Louise Fitzhugh
Anne Tyler
Peter Sís
Stephen Crane
Kenneth Jarrett Singleton
John Wyndham
Joe Abercrombie
Frank Miller
Klaus Janson
Lynn Varley
Melina Marchetta
Julio Cortázar
Zofia Chądzyńska
Stendhal
Roger Gard
Sara Shepard
Veronica Rossi
Fernando Pessoa
John Williams
John McGahern
Richard Winston
Clara Winston
Theodore Ziolkowski
James A. Michener
Quentin Crisp
Dorothy Allison
Michael Scott
Alexandra Adornetto
Matthew Quick
Wendy Higgins
John le Carré
Charles Baudelaire
Cyril Scott
Richard Howard
Marguerite Yourcenar
Grace Frick
Zadie Smith
Carlos Ruiz Zafón
Lucia Graves
Sarah Addison Allen
Ammar Habib
Karen Glista
Meg Cabot
Trevor Alan Foris
Maria Nhambu
Fred Misurella
Anne Brontë
Stevie Davies
Ovid
David Raeburn
Denis Feeney
Judith Viorst
Ray Cruz
Eckhart Tolle
David Benioff
Lucy Christopher
Ken Follett
Fred Gipson
Henryk Sienkiewicz
W.S. Kuniczak
Anne Willow
Naguib Mahfouz
نجيب محفوظ
Emily Giffin
C.C. Hunter
Fredrik Backman
Henning Koch
Marilynne Robinson
E.L. Doctorow
China Miéville
Pedro Jorge Romero
Hans Christian Andersen
Lily Owens
Arthur Rackham
Hans Richter
Laurence Sterne
Melvyn New
Christopher Ricks
Amie Kaufman
Jay Kristoff
Theodore Dreiser
Richard R. Lingeman
Newt Scamander
Nancy Farmer
Ned Dameron
Arthur Koestler
Daphne Hardy
John Howard Griffin
Frank B. Gilbreth Jr.
Ernestine Gilbreth Carey
Monica Ali
Deborah Leblanc
Laura Joffe Numeroff
Felicia Bond
Jeff Kinney
Aravind Adiga
Sharon M. Draper
John Hersey
Jonas Jonasson
Susan Shillinglaw
Margaret Peterson Haddix
Wilbur Smith
David Eddings
Vincent Panettiere
Ishmael Beah
Clive Barker
Katie McGarry
Muriel Spark
Peter V. Brett
Rupi Kaur
Donald A. Yates
James E. Ir
André Maurois
John Scalzi
Carrie Jones
Mary Stewart
Jenny Han
Carina Jansson
Spencer Johnson
Kenneth H. Blanchard
Joe Haldeman
Juan Gomez-Jurado
Daniel Hahn
Jerzy Kosiński
Aesop
Laura Harris
Laura Gibbs
Alan Lee
Flannery O'Connor
Sidney Sheldon
Katy Evans
Ransom Riggs
Elizabeth Chandler
Delia Owens
Terry Brooks
Keith Wilson
Philip Dossick
Fyodor Dostoevsky
Heath Sommer
Lee Child
Bagram Ibatoulline
Knut Hamsun
George Egerton
Viki Kärkkäinen
Ursule Molinaro
Flann O'Brien
Denis Donoghue
Ivan Turgenev
George Reavy
Jane Costlow
Derek Landy
Tom Percival
M. Robinson
Vikram Seth
Frederick Forsyth
Susan Cain
Misty Mount
Todd Burpo
Lynn Vincent
Judi Barrett
Ron Barrett
Susanna Kaysen
Paul Auster
Luc Sante
Wendelin Van Draanen
Sam Kieth
Mike Dringenberg
Malcolm Jones III
Todd Klein
Karen Berger
Daniel Vozzo
Jennifer A. Nielsen
Donna Woolfolk Cross
Sena Jeter Naslund
Omar Farhad
Napoleon Hill
Ben Holden-Crowther
Alfred Lansing
Malorie Blackman
Harlan Coben
Dalai Lama XIV
Howard C. Cutler
John Connolly
Pierre Choderlos de Laclos
